id,district,latitude,longitude,area,rooms,floor,total_floors,metro_distance,distance_to_center,park_distance,school_distance,shopping_distance,year_built,building_age,building_type,renovation,ceiling_height,has_balcony,has_loggia,has_parking,has_elevator,price,price_per_sqm
24,СЗАО,55.827131,37.40298,144.6,2,3,12,0.64,25.23,0.39,0.23,1.93,2021,3,монолит,евроремонт,3.05,1,0,0,1,35181151.58,243299.62
25,НАО,55.564627,37.363759,68.9,1,9,20,1.25,35.01,1.62,0.24,0.53,1982,42,панель,без ремонта,3.12,0,0,0,1,12156681.03,176530.76
26,ЦАО,55.751039,37.626769,138.5,2,6,8,1.09,1.03,1.31,0.63,2.2,2003,21,монолит,без ремонта,2.84,0,0,0,1,57190903.45,413044.89
27,СЗАО,55.845903,37.405967,54.7,2,17,20,0.17,25.69,1.42,0.71,2.47,2014,10,блочный,без ремонта,3.12,1,1,0,1,15348472.41,280653.63
28,ВАО,55.776173,37.797358,149.5,2,7,11,0.14,20.14,0.85,1.43,2.7,1981,43,панель,без ремонта,2.62,1,0,0,1,33598002.59,224767.49
29,ЮВАО,55.705126,37.804223,63.7,3,16,20,0.24,21.37,2.3,1.25,2.86,1974,50,монолит,косметический,3.15,1,0,0,1,16739021.76,262816.32
30,ЦАО,55.760909,37.617324,72.1,3,13,21,0.15,0.99,0.28,0.29,0.34,1984,40,монолит,евроремонт,3.2,1,0,1,1,44218981.25,613365.61
31,НАО,55.529739,37.353955,50.6,1,13,21,0.29,38.27,2.22,1.16,0.43,2000,24,панель,евроремонт,2.86,1,0,1,1,11605313.1,229215.1
32,ЮВАО,55.691551,37.817485,77.6,3,2,22,1.41,23.19,2.28,0.96,2.95,2019,5,монолит,косметический,2.81,1,0,0,1,21431930.99,276302.28
33,ЮЗАО,55.678589,37.571252,124.6,2,1,9,0.34,9.63,1.26,1.47,1.63,1972,52,панель,косметический,2.74,1,0,0,1,33630043.66,269992.94
34,ЗАО,55.725103,37.415057,76.5,3,19,22,0.13,22.67,0.59,0.49,0.78,1980,44,кирпич,косметический,2.75,1,0,0,1,23759429.97,310752.81
35,НАО,55.557719,37.390793,35.2,3,16,23,0.15,33.14,0.84,1.23,2.32,2021,3,панель,косметический,2.84,1,0,0,1,7879527.19,223723.86
36,ТАО,55.346071,37.280241,136.9,2,13,23,1.72,58.58,1.01,0.66,0.58,2006,18,панель,косметический,3.09,0,0,0,1,19123794.48,139690.83
37,СЗАО,55.84913,37.396373,87.3,1,22,23,0.81,26.81,1.91,0.7,0.64,2010,14,панель,евроремонт,2.93,0,0,0,1,27455302.97,314474.73
38,ЮВАО,55.69024,37.756957,48.3,1,23,23,1.58,16.93,0.32,0.13,2.18,1993,31,панель,косметический,3.18,1,1,0,1,11130385.3,230343.19
39,СВАО,55.875195,37.633336,91.9,2,12,21,0.28,13.79,2.43,1.1,0.84,1989,35,панель,без ремонта,2.93,0,0,0,1,24198162.86,263368.2
40,ТАО,55.307356,37.324834,81.8,2,12,18,0.28,59.09,1.77,0.22,0.67,1978,46,монолит,косметический,2.83,1,0,1,1,15242708.78,186378.79
41,САО,55.844067,37.51112,142.3,1,1,7,1.18,15.62,1.52,1.28,0.68,2000,24,монолит,евроремонт,3.08,0,0,0,1,47869911.58,336418.94
42,СЗАО,55.829247,37.402252,127.1,2,19,22,0.88,25.38,1.44,0.71,1.86,1986,38,блочный,без ремонта,2.88,1,1,0,1,37824901.34,297658.25
43,ЮЗАО,55.663743,37.588507,45.8,3,4,9,1.18,10.31,1.52,1.5,2.33,2020,4,панель,евроремонт,2.52,1,1,1,1,15990615.49,348825.18
44,ЮАО,55.599628,37.730216,82.1,2,8,23,0.23,21.04,0.73,1.11,2.24,2000,24,монолит,косметический,3.0,1,1,1,1,23036924.61,280510.4
45,ЮАО,55.619937,37.670206,143.4,1,8,21,0.66,15.78,1.61,0.13,2.65,1981,43,панель,евроремонт,3.05,0,1,1,1,37798986.88,263572.11
46,СЗАО,55.857198,37.373076,141.8,4,1,15,0.2,29.54,2.47,1.27,0.64,1970,54,блочный,косметический,2.91,1,0,0,1,40662663.62,286769.01
47,ЮВАО,55.686271,37.771622,76.8,3,2,14,0.6,18.6,1.31,1.39,1.89,2013,11,блочный,косметический,2.9,0,0,0,1,20290819.84,264158.42
48,ТАО,55.318042,37.310333,145.1,1,6,14,0.17,59.02,2.49,0.8,1.91,1982,42,панель,косметический,3.06,1,0,0,1,19920092.79,137253.31
49,ЗАО,55.691939,37.447319,114.3,2,18,21,0.65,20.03,1.96,0.24,1.2,2014,10,монолит,косметический,2.69,1,0,0,1,31806344.14,278374.48
50,САО,55.834648,37.543686,94.0,1,6,12,0.43,12.3,1.51,1.34,1.8,1967,57,панель,без ремонта,3.01,1,1,0,1,28552219.59,303859.11
51,ЮВАО,55.674601,37.748689,35.9,2,7,9,1.61,16.91,0.48,1.33,2.04,1987,37,блочный,евроремонт,2.74,0,0,0,1,9946101.58,277315.7
52,ЮВАО,55.717778,37.753299,70.3,3,4,11,3.04,15.54,1.99,0.26,1.83,2015,9,панель,косметический,2.84,1,1,0,1,17558425.47,249605.39
53,СЗАО,55.835863,37.37962,148.1,2,2,21,0.35,28.0,0.24,1.38,0.62,2005,19,панель,без ремонта,2.78,1,1,0,1,34567324.66,233483.69
54,ТАО,55.357608,37.33141,108.1,1,17,21,0.53,54.08,1.08,0.83,0.43,2012,12,панель,без ремонта,3.04,0,1,0,1,17867393.46,165240.56
55,ТАО,55.34191,37.264929,84.5,2,6,14,1.16,60.03,0.69,0.14,1.01,2004,20,блочный,евроремонт,3.17,0,1,0,1,13453939.62,159206.35
56,ЗАО,55.716175,37.468716,111.1,2,3,11,1.47,16.99,2.04,1.07,1.03,1993,31,панель,косметический,3.07,1,1,0,1,34106192.09,307123.82
57,ЗАО,55.727074,37.459023,119.9,3,6,20,3.25,17.81,2.28,1.01,2.17,2000,24,монолит,без ремонта,2.99,1,0,0,1,41056147.51,342478.52
58,ЮВАО,55.687711,37.779014,39.4,2,18,21,1.19,19.3,0.33,0.74,1.71,2008,16,панель,косметический,2.66,0,0,0,1,9766056.36,247804.97
59,ЮЗАО,55.671663,37.52861,125.5,2,9,14,1.17,13.3,1.4,0.7,2.67,1961,63,панель,евроремонт,2.51,1,0,1,1,40557726.23,323176.54
60,ЮЗАО,55.688966,37.553693,59.0,2,7,22,0.69,9.96,1.88,0.1,1.56,2015,9,панель,косметический,2.66,0,0,1,1,17487816.66,296600.38
61,ЦАО,55.741498,37.612098,144.6,3,6,9,3.33,1.31,2.23,0.94,2.74,1954,70,монолит,без ремонта,2.78,1,0,1,1,60434506.98,418081.54
62,ТАО,55.325537,37.288022,48.3,3,5,14,0.15,59.82,2.43,1.34,2.8,2018,6,панель,косметический,3.03,1,0,1,1,7270305.93,150509.03
63,ЗАО,55.683015,37.415733,59.1,2,1,7,1.63,23.67,0.28,0.56,2.82,1970,54,панель,косметический,2.76,0,1,0,1,15599252.02,263857.79
64,ЮВАО,55.700649,37.787309,138.3,2,2,16,0.73,19.69,2.19,1.13,1.71,1985,39,монолит,евроремонт,3.11,1,1,0,1,37782702.63,273165.72
65,ТАО,55.323562,37.309611,135.1,3,7,11,0.1,58.56,2.09,0.42,2.75,1987,37,блочный,евроремонт,2.86,0,0,0,1,24062894.6,178100.07
66,ЦАО,55.751553,37.599959,26.1,3,6,20,0.37,1.95,0.24,0.71,2.57,1957,67,сталинка,евроремонт,2.57,1,1,0,1,16366917.13,626267.91
67,ЦАО,55.767079,37.637138,84.2,1,18,22,3.8,2.75,1.75,0.72,2.05,1981,43,монолит,без ремонта,2.52,1,0,1,1,42585362.12,505784.0
68,НАО,55.548305,37.342201,143.0,1,7,17,0.7,38.01,2.1,0.52,2.57,2016,8,монолит,евроремонт,2.69,1,0,0,1,31348522.67,219162.27
69,ЮВАО,55.681591,37.799903,59.3,5,6,9,0.31,21.7,0.69,0.14,2.06,1981,43,монолит,косметический,2.88,0,0,0,1,15219096.13,256745.82
70,ТАО,55.340199,37.31215,103.3,1,8,13,2.13,56.91,1.62,1.22,1.6,1983,41,монолит,косметический,2.67,1,0,0,1,15889392.96,153851.39
71,ЮВАО,55.71261,37.753648,63.8,2,5,16,0.16,15.73,1.1,0.77,1.92,2001,23,монолит,евроремонт,3.17,1,1,1,1,18035109.9,282703.04
72,СЗАО,55.82845,37.384252,85.3,1,8,9,0.11,27.25,0.95,0.82,0.54,1982,42,панель,евроремонт,2.75,1,1,0,1,26071504.21,305664.37
73,САО,55.840026,37.517719,143.9,1,9,10,2.3,14.77,0.32,0.86,2.21,1967,57,монолит,косметический,3.05,1,0,0,1,43314117.29,300910.03
74,ЮАО,55.630331,37.743046,105.4,2,14,18,0.17,19.41,0.34,0.45,0.73,2014,10,монолит,косметический,2.83,1,1,0,1,25636038.42,243117.27
75,САО,55.84609,37.483252,86.7,1,3,23,0.3,18.2,1.16,0.39,2.57,2008,16,монолит,евроремонт,3.02,1,0,0,1,31491502.47,363393.1
76,ЗАО,55.730984,37.492224,98.5,1,4,6,1.75,14.1,2.27,0.69,1.05,2010,14,панель,косметический,2.77,1,1,0,1,32047972.38,325336.02
77,ВАО,55.791557,37.81087,86.5,1,15,20,0.82,21.91,1.53,1.03,0.56,1986,38,панель,дизайнерский,2.68,1,0,1,1,22278815.25,257455.18
78,ЮЗАО,55.626662,37.561252,34.2,1,10,18,0.99,15.25,0.54,0.73,1.89,1971,53,монолит,без ремонта,2.62,0,1,0,1,10492047.13,306900.82
79,ЦАО,55.748784,37.653423,133.0,2,18,24,3.56,4.0,0.48,0.42,0.44,1930,94,кирпич,косметический,3.15,1,0,0,1,56452696.24,424370.14
80,ЮВАО,55.729575,37.762437,27.2,1,7,21,0.59,16.28,1.39,0.78,2.1,1989,35,панель,без ремонта,2.6,1,1,0,1,6038559.62,222230.76
81,ЮЗАО,55.640643,37.604981,133.5,1,1,10,1.56,12.44,2.37,1.06,1.64,1976,48,монолит,евроремонт,3.04,0,1,1,1,41342850.82,309643.03
82,ЮВАО,55.712588,37.803007,68.6,1,6,24,0.41,21.05,2.19,1.49,2.33,2022,2,монолит,евроремонт,3.11,1,0,0,1,20374099.61,297121.07
83,САО,55.833037,37.538258,133.6,2,9,11,0.42,12.58,1.65,0.95,1.82,1978,46,панель,косметический,2.67,1,0,0,1,40126276.55,300318.11
84,НАО,55.550042,37.399109,92.8,4,6,10,2.06,33.02,2.07,0.25,0.7,2017,7,монолит,евроремонт,2.93,1,1,1,1,25248306.96,272085.59
85,ЮВАО,55.711384,37.772324,55.4,4,4,23,2.28,17.77,1.01,0.24,1.61,2017,7,монолит,евроремонт,3.15,1,0,0,1,18759674.68,338406.74
86,САО,55.82945,37.491464,40.2,1,10,16,1.39,16.42,0.62,0.51,2.44,2020,4,панель,дизайнерский,2.84,1,0,0,1,15002743.34,372870.87
87,ТАО,55.371491,37.308261,124.2,2,10,16,0.46,54.43,2.28,1.18,1.8,1996,28,монолит,косметический,3.08,1,1,0,1,20468050.07,164775.26
88,ЦАО,55.738668,37.612594,54.4,3,5,5,0.18,1.58,0.25,1.0,1.94,1961,63,сталинка,без ремонта,2.94,0,0,0,1,30231672.55,555683.84
89,НАО,55.575166,37.355628,111.6,5,14,20,0.19,35.07,1.87,0.91,1.04,2015,9,панель,евроремонт,2.92,1,0,0,1,24403805.96,218761.25
90,ЦАО,55.763201,37.636908,33.7,2,6,12,0.82,2.49,1.76,0.42,1.53,2015,9,сталинка,дизайнерский,2.96,1,1,0,1,18631740.19,552191.44
91,НАО,55.53514,37.379288,92.0,1,16,17,0.1,35.76,0.89,1.47,1.58,1999,25,панель,косметический,2.61,1,1,0,1,19086835.07,207514.18
92,ЮВАО,55.696451,37.758772,123.5,3,12,13,1.32,16.85,1.83,0.15,1.12,2019,5,панель,косметический,2.74,0,0,1,1,29072013.05,235424.27
93,НАО,55.555829,37.41656,139.9,2,12,14,1.63,31.17,0.68,1.4,0.61,1987,37,монолит,косметический,2.87,1,0,0,1,29984815.63,214293.59
94,ЮВАО,55.710684,37.769105,96.9,2,4,9,0.85,17.44,0.52,1.36,2.54,2021,3,монолит,косметический,2.6,1,0,0,1,21535193.25,222251.92
95,ВАО,55.790328,37.79731,142.1,3,6,21,0.1,20.41,0.24,0.94,1.28,2000,24,панель,евроремонт,2.82,0,1,0,1,39790910.02,280106.92
96,СЗАО,55.814838,37.378093,34.3,3,19,22,0.26,27.47,1.79,0.97,2.01,2009,15,блочный,евроремонт,2.71,1,0,0,1,10209530.06,297404.86
97,ВАО,55.812418,37.795512,69.3,2,14,14,0.26,20.87,1.09,1.45,0.97,1996,28,панель,евроремонт,2.91,1,0,0,1,17983826.49,259583.55
98,НАО,55.535088,37.366081,93.5,2,7,12,0.23,36.86,0.49,1.31,0.96,1987,37,панель,без ремонта,2.78,1,1,1,1,20895425.64,223492.59
99,ЦАО,55.762776,37.620933,126.1,1,2,5,2.23,1.26,0.78,1.19,2.53,1963,61,сталинка,косметический,2.66,1,0,1,0,68551801.9,543585.49
100,ЮЗАО,55.646565,37.568501,35.6,3,19,21,0.16,12.91,0.23,1.44,2.29,2017,7,кирпич,дизайнерский,3.18,1,1,0,1,15622641.67,438850.55
101,ЮВАО,55.717786,37.781079,58.1,1,16,24,2.85,18.55,0.88,1.18,1.99,1971,53,монолит,без ремонта,2.68,0,0,1,1,14754631.25,253817.78
102,САО,55.826785,37.51579,84.3,1,16,17,1.44,14.01,1.71,0.28,1.21,1999,25,кирпич,без ремонта,2.76,1,0,0,1,23355247.13,277075.44
103,ВАО,55.783381,37.811164,135.9,2,10,11,1.45,21.78,2.18,1.29,2.78,1987,37,монолит,без ремонта,3.18,1,0,0,1,29744612.03,218926.71
104,ЮАО,55.620873,37.734887,92.4,3,5,10,1.14,19.54,2.08,0.4,1.67,1993,31,панель,косметический,3.03,1,1,0,1,22527813.12,243690.07
105,ЮЗАО,55.665029,37.570801,79.2,1,16,18,1.44,10.96,1.91,1.33,1.05,1994,30,кирпич,евроремонт,2.64,1,1,0,1,22863360.54,288587.47
106,СЗАО,55.843598,37.339035,90.5,3,12,18,1.2,32.54,0.67,1.44,1.29,1980,44,монолит,евроремонт,2.83,1,0,0,1,27824856.4,307389.4
107,НАО,55.55337,37.385352,73.9,2,7,16,0.1,33.91,1.63,0.6,2.44,1989,35,панель,евроремонт,2.86,1,0,0,1,16102947.16,217781.88
108,ЗАО,55.741164,37.452429,125.6,1,17,23,0.91,18.36,0.54,1.07,2.31,2017,7,монолит,евроремонт,2.86,1,0,0,1,39129650.25,311483.21
109,САО,55.82976,37.519775,125.2,3,1,17,0.54,13.86,1.66,1.2,0.62,1965,59,монолит,косметический,3.02,1,0,0,1,43146738.58,344702.73
110,СВАО,55.858783,37.632129,89.8,1,3,13,0.34,11.96,1.19,1.32,2.57,2006,18,панель,косметический,3.16,1,1,0,1,27806139.86,309783.73
111,СВАО,55.891619,37.607558,120.7,1,12,20,0.22,15.54,1.93,1.02,2.88,1999,25,панель,без ремонта,2.53,0,0,1,1,36262140.71,300459.09
112,ЮАО,55.650703,37.711914,58.5,1,8,12,0.14,15.37,1.63,0.89,1.23,2019,5,панель,косметический,3.13,0,1,1,1,17111942.61,292424.97
113,ЮЗАО,55.667397,37.559162,123.5,2,10,13,3.21,11.41,0.53,1.12,0.82,2008,16,кирпич,дизайнерский,2.93,1,0,0,1,35333681.07,286185.81
114,НАО,55.553958,37.35489,93.1,5,2,21,0.51,36.51,1.45,1.21,1.78,2003,21,панель,косметический,2.84,0,1,1,1,20758938.38,222883.2
115,САО,55.836652,37.545585,118.7,1,8,19,0.19,12.33,1.02,1.47,2.44,2008,16,панель,косметический,2.62,1,1,0,1,31255162.69,263399.97
116,ЮВАО,55.685389,37.77589,56.9,4,10,16,1.21,19.07,1.48,0.87,0.55,1972,52,блочный,косметический,2.85,0,1,1,1,15664381.39,275119.39
117,СВАО,55.846339,37.611444,48.3,1,9,20,0.79,10.49,1.66,1.22,1.37,2017,7,блочный,евроремонт,2.81,1,0,0,1,14074505.99,291154.03
118,ТАО,55.328278,37.291927,48.0,3,16,20,0.23,59.31,1.21,0.96,0.53,2001,23,панель,евроремонт,2.72,1,0,0,1,9794427.4,203931.17
119,САО,55.820665,37.518095,26.6,2,4,5,1.12,13.41,2.25,0.21,2.28,2020,4,панель,косметический,3.14,0,1,1,1,10787292.99,405904.48
120,СЗАО,55.831932,37.338499,128.5,1,16,18,1.1,32.22,2.1,0.24,0.95,2021,3,блочный,евроремонт,2.63,1,0,0,1,36818876.93,286458.77
121,ТАО,55.326145,37.313329,28.9,3,2,10,0.4,58.09,0.21,1.05,0.75,1989,35,панель,евроремонт,2.7,1,1,0,1,6190175.32,214271.14
122,ЮВАО,55.707709,37.770292,133.9,3,2,11,0.94,17.66,2.21,0.1,0.76,2003,21,панель,косметический,3.11,1,0,1,1,29706078.45,221851.79
123,ВАО,55.785959,37.810641,28.4,4,9,14,0.38,21.77,2.29,1.16,2.47,1989,35,блочный,косметический,2.89,1,0,0,1,8157455.5,287265.94
124,ЗАО,55.722209,37.470064,37.1,1,4,5,0.39,16.7,1.58,0.52,1.11,1989,35,кирпич,без ремонта,3.11,1,0,0,1,12878211.53,347432.43
125,ЦАО,55.747428,37.583758,58.5,3,4,9,0.3,3.78,1.32,1.13,1.72,1938,86,сталинка,евроремонт,3.12,1,0,0,1,29953423.09,512268.78
126,СЗАО,55.8185,37.373928,46.3,4,4,14,1.34,28.03,1.67,1.05,0.66,1973,51,панель,косметический,2.96,1,1,1,1,15140139.48,326840.33
127,ЮЗАО,55.663603,37.56239,25.4,1,10,14,2.0,11.56,0.75,0.76,1.52,2004,20,кирпич,без ремонта,2.93,0,0,0,1,6959629.98,274377.87
128,ЦАО,55.751162,37.602557,125.3,2,11,14,0.14,1.66,0.84,1.24,1.07,1946,78,кирпич,без ремонта,2.86,1,0,1,1,68919731.41,549935.89
129,ЦАО,55.778009,37.603413,135.3,2,12,17,1.0,3.28,0.88,1.11,2.88,1998,26,кирпич,евроремонт,2.54,0,0,0,1,68141116.74,503695.66
130,САО,55.854646,37.535047,107.8,1,8,19,1.21,14.61,0.36,0.21,1.26,1998,26,кирпич,евроремонт,2.95,1,0,0,1,29951886.43,277761.62
131,СЗАО,55.847597,37.389042,115.5,1,6,10,1.51,27.49,2.48,1.25,2.18,1981,43,панель,косметический,2.9,0,0,0,1,27642274.66,239334.03
132,ЮЗАО,55.665719,37.559992,75.5,1,6,17,1.34,11.51,1.23,1.22,2.52,1987,37,кирпич,косметический,2.57,1,0,0,1,18558074.88,245843.89
133,ЦАО,55.776756,37.679343,45.7,2,8,9,1.25,7.39,2.38,0.58,1.7,1947,77,сталинка,без ремонта,2.55,1,0,0,1,23800116.25,520749.91
134,САО,55.842578,37.546362,95.0,1,13,21,2.96,12.78,0.73,1.47,1.74,2004,20,панель,без ремонта,2.52,1,0,0,1,28543138.48,300577.31
135,ЮВАО,55.708414,37.76079,39.5,4,3,13,1.85,16.62,1.59,1.26,2.96,1982,42,монолит,без ремонта,2.52,1,1,1,1,12522705.61,316891.17
136,САО,55.830756,37.50967,129.8,2,5,6,0.27,14.82,0.33,0.58,1.03,2003,21,монолит,косметический,2.62,1,1,0,1,43434023.67,334574.6
137,ВАО,55.791078,37.834689,96.2,2,7,13,0.5,24.5,0.29,0.77,1.77,1988,36,панель,косметический,2.92,1,0,0,1,25981930.95,270160.6
138,ЮЗАО,55.654037,37.559836,59.5,3,6,20,0.23,12.62,1.26,1.47,1.61,1991,33,кирпич,косметический,2.84,1,0,0,1,19260659.18,323866.7
139,СЗАО,55.85374,37.36667,136.8,2,19,20,0.84,30.05,1.56,1.23,1.59,1978,46,панель,без ремонта,2.95,0,0,0,1,32602959.76,238314.28
140,ЮВАО,55.734999,37.770546,140.8,1,22,24,1.03,17.09,1.86,1.07,0.66,1990,34,панель,евроремонт,2.7,0,1,0,1,40287922.97,286140.24
141,ЗАО,55.734839,37.404509,33.6,1,5,12,1.48,23.72,2.06,1.34,2.19,2022,2,панель,евроремонт,2.55,1,0,0,1,10552720.94,313801.11
142,СВАО,55.883151,37.654309,112.2,1,11,11,1.73,15.12,1.77,0.26,2.57,1985,39,панель,без ремонта,3.0,1,0,1,1,29079166.5,259127.49
143,ЮЗАО,55.647676,37.580715,138.3,1,7,13,0.3,12.28,1.67,1.47,1.93,2012,12,кирпич,евроремонт,2.63,1,1,0,1,44569643.33,322352.05
144,ЮАО,55.636445,37.706867,55.2,3,5,12,1.4,16.21,1.47,0.83,0.69,1992,32,монолит,косметический,2.61,1,1,1,1,16634528.56,301123.98
145,ЦАО,55.746407,37.617908,59.5,3,8,22,0.1,0.62,0.77,1.14,1.15,1940,84,монолит,без ремонта,2.9,1,0,1,1,34924246.75,586753.12
146,СВАО,55.863306,37.631821,145.5,1,1,18,2.23,12.46,2.14,1.05,0.68,1990,34,монолит,косметический,3.18,1,1,1,1,38480906.3,264455.77
147,ЮВАО,55.733617,37.758494,149.9,1,7,14,0.66,15.78,1.2,0.74,0.86,1983,41,монолит,без ремонта,3.1,0,0,0,1,38094289.66,254074.94
148,СЗАО,55.827741,37.425376,135.0,1,13,21,0.13,22.92,1.11,1.4,0.64,1972,52,панель,косметический,2.78,1,0,1,1,33672372.43,249388.79
149,СВАО,55.881731,37.627044,122.8,2,21,23,1.03,14.44,0.76,1.38,2.56,1986,38,панель,косметический,2.85,1,0,0,1,28587180.7,232885.82
150,ТАО,55.354478,37.288982,81.9,1,8,9,0.21,57.24,2.17,0.91,0.51,2016,8,блочный,косметический,2.69,0,0,1,1,12230945.44,149404.09
151,ВАО,55.801036,37.85508,96.0,2,7,21,1.79,26.93,1.75,0.87,2.54,1992,32,монолит,косметический,2.78,1,0,0,1,22569968.46,235075.52
152,ЮЗАО,55.662736,37.602156,148.8,1,16,16,0.94,10.05,1.68,0.89,2.4,1976,48,панель,без ремонта,2.6,1,1,0,1,36108798.85,242705.62
153,ЮВАО,55.713552,37.767912,45.5,2,1,9,2.46,17.23,0.98,1.11,1.75,2000,24,монолит,без ремонта,2.6,0,1,0,1,10405973.93,228777.5
154,САО,55.854034,37.507486,69.3,4,5,18,0.88,16.66,2.34,1.17,1.78,2005,19,кирпич,без ремонта,2.62,1,0,0,1,23612547.41,340810.69
155,ТАО,55.340018,37.307422,55.2,4,4,24,2.52,57.24,2.49,1.1,2.95,1981,43,панель,косметический,2.92,0,1,1,1,8597621.82,155621.12
156,СВАО,55.854364,37.643039,112.3,2,2,24,2.83,11.71,1.1,1.3,2.39,2005,19,панель,евроремонт,2.97,0,0,1,1,32554394.52,289916.42
157,СЗАО,55.840252,37.39423,72.1,2,11,23,0.14,26.65,2.06,0.35,1.69,2017,7,панель,евроремонт,2.52,1,1,0,1,19511412.38,270528.96
158,ЗАО,55.769138,37.404032,85.2,2,21,24,0.13,23.77,0.33,0.72,1.04,1976,48,монолит,без ремонта,2.89,1,1,0,1,24867818.97,291897.5
159,ВАО,55.786914,37.797621,52.6,1,1,18,0.25,20.37,2.19,0.5,2.87,1974,50,монолит,косметический,2.8,1,1,0,1,13718018.29,260766.12
160,ЮЗАО,55.671166,37.558592,84.5,2,8,12,0.26,11.1,0.96,1.3,0.86,2016,8,панель,косметический,3.12,1,0,1,1,22128029.4,261740.18
161,ВАО,55.802256,37.831512,106.8,1,17,17,0.72,24.4,0.85,0.7,0.4,2022,2,монолит,без ремонта,2.79,1,0,1,1,25184986.38,235745.31
162,ЮАО,55.632879,37.712298,135.3,1,12,12,0.4,16.9,1.88,1.0,1.42,1982,42,панель,без ремонта,2.73,1,1,0,1,32702998.42,241632.66
